epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,111.765,0.79158,0.655,1,0.6477,0.00090018,0.00030006,0.00090018,0.00030006,0.00090018,0.00030006,0.00090018,0.00030006
2,225.208,0.54752,0.775,1,0.50598,0.00166718,0.000555728,0.00166718,0.000555728,0.00166718,0.000555728,0.00166718,0.000555728
3,320.503,0.48036,0.78,1,0.43477,0.00224605,0.000748683,0.00224605,0.000748683,0.00224605,0.000748683,0.00224605,0.000748683
4,383.564,0.42605,0.81,1,0.40763,0.00263678,0.000878926,0.00263678,0.000878926,0.00263678,0.000878926,0.00263678,0.000878926
5,441.956,0.37805,0.82,1,0.40346,0.00283937,0.000946456,0.00283937,0.000946456,0.00283937,0.000946456,0.00283937,0.000946456
6,506.243,0.35478,0.835,1,0.3274,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835
7,1802.83,0.30742,0.845,1,0.36841,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
8,1867.26,0.29737,0.855,1,0.34481,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769
9,1939.79,0.29022,0.85,1,0.32622,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736
10,2019.55,0.29073,0.84,1,0.371,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703
